COMPONENTES,2018,Unnamed: 2,Unnamed: 3,Unnamed: 4,2019,Unnamed: 6,Unnamed: 7,Unnamed: 8,2020,Unnamed: 10,Unnamed: 11,Unnamed: 12,2021 (p),Unnamed: 14,Unnamed: 15,Unnamed: 16,2022 (p),Unnamed: 18,Unnamed: 19,Unnamed: 20,2023 (p),Unnamed: 22,Unnamed: 23,Unnamed: 24,2024 (p),Unnamed: 26,Unnamed: 27,Unnamed: 28,2025 (p),Unnamed: 30
,E-M,E-J,E-S,E-D,E-M,E-J,E-S,E-D,E-M,E-J,E-S,E-D,E-M,E-J,E-S,E-D,E-M,E-J,E-S,E-D,E-M,E-J,E-S,E-D,E-M,E-J,E-S,E-D,E-M,E-J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumo Final,96.37565885226203,97.34887344021413,97.98097531444573,100,102.40615426551777,103.48500909842062,103.80612335119137,105.21435550018907,103.61478206783319,101.55879951025202,101.56992841205472,102.64661194422702,104.63259324256433,107.32222159362462,108.1154422477947,109.5528712243052,112.87029141901537,114.9266830248706,114.95869830537981,116.00265322191886,114.87430962519899,117.4962284576392,117.83400540221862,119.16332995624452,119.91813235893872,123.63133478643664,123.94094481680929,124.47349105988086,123.91105438199858,126.93432582420155
Consumo Privado,97.00125567695859,97.61331984840334,98.19793531949226,100,102.86641258050533,103.34246106380003,103.7704565566176,104.86979667565929,102.21121533877447,99.6096042824096,99.57544579320098,100.33799181232118,104.60713406329445,106.93188288374958,107.41553721872116,108.62412472497836,112.45991496721376,114.68118557747766,114.39916195096363,114.54520658451888,114.72102530360092,117.22877285034168,117.28423432943931,117.5854853196769,119.66402447918149,123.04382003090245,123.12874051682576,122.94636947825046,123.92445265546687,126.75715048207657
Consumo Público,91.94856984797399,95.6399267231076,96.65539312779718,99.99999999999999,99.27850694039071,104.78202441652354,104.38579296715712,107.55777659632378,114.53848962092688,115.62910071151373,116.21090235278196,118.2245789460685,105.42085947455543,110.26982844430131,113.05362716920752,115.39892718622818,116.60253263351339,117.44125499769575,119.48697728583932,125.18997390745622,116.71296067883242,120.19271436065452,122.3794417089588,128.1544319386874,122.48414831687288,128.41834572075888,130.13776927457374,133.4174191903359,126.31813734638891,129.65902544361117
Formación Bruta de Capital (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formación Bruta de Capital Fijo,93.45488185904019,97.44558001171036,98.9750878645297,100,98.62336289433654,101.46491673587656,104.35439818287932,105.49421976498788,93.43029659908622,85.61636792898679,91.91900074486347,96.73489060979495,114.19723782166066,119.66794344502296,118.05615777867041,120.27473507439372,124.49592672958411,126.97763187804628,125.70877039743375,126.45513349241926,123.59746016662791,127.44500681607244,127.9217788053138,129.0421857096229,127.06938287596186,132.14281395659125,133.025658256465,132.75136521170765,122.3978736429528,127.35781159030665
Variación de Existencias (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exportaciones,100.24264571792546,101.1025622457765,100.9168216809228,100,106.04532936688834,104.84677135649282,102.2786938809748,101.75155381498142,99.86325795610786,74.30146241037023,71.80612899637411,72.7754220821626,84.43821191995637,90.50034131663142,94.792990640372,98.50149399615609,111.86486892659985,112.86195744085407,112.96485058049173,111.44686945096811,117.6714419283824,111.94396409048476,111.11165316466433,109.66751586634811,124.04830013799543,120.67661691227285,119.50001540447357,118.19922578400787,128.70289546531203,123.62822661099116
Importaciones,92.37196112558811,96.43224961059155,98.29546374200656,100,96.42994205934507,102.08822194947845,103.0564502208457,103.25640204505035,99.8772905695252,88.93475338425915,88.83045474709984,92.2880404430584,94.40827976879784,104.00831535328007,107.42170795709323,111.9886464174562,116.43307192455603,129.77886743442684,128.35031847321568,127.66433317190629,122.7658078064235,130.37347648526622,127.40415627900772,127.84901507628783,116.93297348197116,131.25001157581247,130.26096192577745,132.14303719643252,120.29646233350603,130.08745730867378
Producto Interno Bruto,96.9582937460671,98.27633795197377,98.67542525179327,100,102.94817742329272,103.35241735306529,103.62152250836716,104.89403011672749,101.90756182526846,93.7956212784294,94.4962228948853,96.57692756320556,107.09998921099735,107.86834338991298,108.03449306798802,110.10970087770266,116.26660971564145,115.86937345424974,114.98313122322067,115.87719914421697,118.6270607911084,117.941314631002,117.48569885705336,118.4175732231101,123.9640195002761,124.17596924207521,123.64330974058133,124.28371529003488,127.3562155392187,127.10493691601857
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
