Período,Población,PIB Corriente,PIB Corriente.1,PIB Corriente.2,PIB Corriente.3,PIB Referencia 2018
1992,1.832759061370865,17.41403690401164,15.300850125498926,18.501018530677186,16.368268544369883,11.237464130152318
1993,1.8439790362932484,12.715305922859017,10.6744915010554,13.221388683788504,11.171411167508282,7.366695265036256
1994,1.7442195648651477,12.999798661548056,11.062622667725222,10.63409573217271,8.737475411701396,2.593783067160331
1995,1.6878447149885005,15.886596412531958,13.963076646318797,11.970344421550408,10.111827756190308,5.699988590161482
1996,1.6276054234039066,9.86693241343501,8.10737098026091,8.876384167032441,7.132686747295168,5.961193192433427
1997,1.5933584674765626,19.176378267541423,17.307253215468577,13.16162073186453,11.386829256256277,8.899552296024837
1998,1.6078057346188928,13.655935646150752,11.85748459424407,7.103227242857287,5.40846391525416,6.705855709731253
1999,1.5208083008716216,10.001954201304557,8.354096113279354,3.637970591200215,2.085446644646538,5.956510249754942
2000,1.47309836162637,12.205533852883477,10.5766313087329,9.563709194431098,7.973158367522885,4.651725503441767
2001,1.3717160752301396,8.648828174781983,7.1786415198410225,4.787506049636534,3.3695690540263428,2.4693702406905373
2002,1.345155101682181,11.726863455638252,10.243911851079446,2.0150944710396033,0.6610472584360281,4.486503671218074
2003,1.3627919715876402,31.66554046889192,29.895337241498083,-19.109070958982315,-20.196624947257064,-1.3493574505709063
2004,1.287168882540172,48.897279143286255,47.00507555498777,11.229584243819374,9.816066014056673,2.5855666759536007
2005,1.2474643381629136,15.754558900995889,14.32835346313442,54.88135568216967,52.97307117230261,9.431789320617881
2006,1.152010940056286,16.424891583734038,15.098939212121707,5.979564674806028,4.772573169712487,9.17120650883247
2007,1.1310199529116431,15.618907749823904,14.325859467904166,15.855951054342682,14.560251748956162,7.418405775203581
2008,1.1504614424717943,13.86092036497584,12.565893166718695,9.284869481038996,8.041889204028536,3.268086714964838
2009,1.0835594026554105,4.46431602990387,3.3445168009780986,0.18743305236239394,-0.8865203754088213,1.0034529280799802
2010,1.0496631611086826,14.199860179453893,13.013598073433627,11.507822257389805,10.349523955965239,8.401145415092842
2011,1.0711167415651204,11.412532648517029,10.23182115756623,7.733588658265106,6.591865343425127,3.191962271973864
2012,1.0524273186432964,7.892332113849747,6.768669468610099,4.52974988088242,3.441107407815423,2.775671011002359
2013,1.071350029950537,9.791738605615336,8.627952998629866,3.2723588266939174,2.177678240264086,4.934733004499137
2014,1.0098030799167788,11.626801521546739,10.51085945908639,7.160901984838986,6.08960587721927,7.111226297476378
2015,0.9789764461648502,9.535260592005685,8.473332219209496,5.899226943112907,4.872549386130103,6.987711313717909
2016,0.9498967109317675,8.870563120400575,7.846136219583741,6.423473277980591,5.422072478907339,6.719740785145618
2017,0.9342588544269574,7.99506071926244,6.995446288478675,4.615466564881814,3.647134037774123,3.9338617645636305
2018,0.9536371299452782,11.960284530689506,10.902675439594816,7.422222986579641,6.407481731745975,7.097516401421373
2019,0.8978147502047875,8.66544326013154,7.698510150251778,4.87083064274006,3.9376629735454287,4.894030116727492
2020,0.8705948454961856,-2.9068828743106394,-3.7448750308182497,-11.930627245578421,-12.690737187266791,-7.929052343843168
2021,0.8330000318706112,22.24530459295029,21.235413559362343,21.204250996677644,20.202960299076906,14.012428906107502
2022,0.8201102269604661,15.289480787996396,14.351671039104488,19.748438211158643,18.774357557820352,5.237956529298174
2023,0.8399314701328535,8.106347499057591,7.205891478691612,6.01491910369441,5.131883330458507,2.1922984829236896
2024,0.7891025757726311,9.436795817405155,8.579988332698193,3.17844451934009,2.3706352001409527,4.951696871242433
